GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2020-01-01,2020,2020,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,15.40818,15.4 [12.0-19.1]
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_TOTAL,Total,384.0,384 [316-441]
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,9.60929,9.6 [7.7-11.8]
WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),2017-01-01,2017,2017,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,37.35085,37
AIR_15,Household air pollution attributable DALYs,2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,3834.65,3835 [3285-4321]
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,33.36,33 [20-51]
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,3.62158,3.62 [1.69 - 5.99]
MORT_200,Deaths per 1 000 live births,2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,9.93003,9.9
NTD_6,Status of elimination of trachoma as a public health problem,2024-01-01,2024,2024,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Known to require interventions
CM_01,Number of under-five deaths,1996-01-01,1996,1996,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,116172.0,116 172 [109 008-123 780]
AIR_15,Household air pollution attributable DALYs,2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,97655.81,97 656 [79 118-118 552]
O_Cytisine_where,Cytisine - place available,2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,,,,62344.04821834804,. . .
P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
WHS3_49,Poliomyelitis - number of reported cases,1990-01-01,1990,1990,AFR,Africa,KEN,Kenya,,,,1528.0,1528
MORT_MATERNALNUM,Number of maternal deaths,2020-01-01,2020,2020,AFR,Africa,KEN,Kenya,,,,7716.25045,7 716 [5 564-10 918]
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2004-01-01,2004,2004,AFR,Africa,KEN,Kenya,,,,7545541.0,7 545 541
W25_quitline_number_C,The quit line number must appear on smokeless tobacco packaging or labelling,2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
W26_plain_packaging_A,Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
W13_ind_liability_A,Health warnings on cigarette packaging do not remove or diminish the liability of the tobacco industry,2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_SEVERE,Severe,1.5,1.5 [0.6-2.6]
TB_c_mdr_tx,Cases started on MDR-TB treatment,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,,,,118.0,118
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MILD,Mild,15.7,15.7 [8.1-24.4]
AIR_35,Joint effects of air pollution attributable deaths,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,6627.015,6627 [5508-7590]
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.9751,1.0 [0.4 - 1.6]
RSUD_810,Continuing professional development in treatment,2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,RSUDHWF,RSUDHWF_PSYCHIATRISTS,Psychiatrists,62344.04821834804,No data
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1994-01-01,1994,1994,AFR,Africa,KEN,Kenya,WEALTHDECILE,WEALTHDECILE_TOTL,Total,5.1,5.1 [4.5-5.8]
PRETERMBIRTH_RATE,Preterm birth rate (per 100 live births),2013-01-01,2013,2013,AFR,Africa,KEN,Kenya,,,,8.76256,8.8 [5.8-13.0]
CM_04,Number of deaths among children ages 5 to 9 years,1994-01-01,1994,1994,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,5173.0,5173 [4530-5874]
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,3491.434,3491 [2987-4003]
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",1996-01-01,1996,1996,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,3.7,3.7 [3.3-4.1]
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,13.55261,13.6 [7.7-21.3]
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MILD,Mild,1700.0,1700 [1190-2260]
SDGSUICIDE,Crude suicide rates (per 100 000 population),2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,3.4,3.4 [2.7-4.1]
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,40.108,40 [24-58]
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,7.3,7.3 [6.2-8.6]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2017-01-01,2017,2017,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00019,0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,1.57267,1.6 [0.3-3.7]
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,27.8,27.8 [11.9 - 48]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00015,0
WHS3_49,Poliomyelitis - number of reported cases,2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,,,,0.0,0
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,7.514,8 [3-13]
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",1987-01-01,1987,1987,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,3.7,3.7 [3.3-4.2]
NUT_CF_ISSSF,"Introduction of solid, semi-solid or soft foods 6-8 months",2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,85.1,85.1 [79.6-89.2]
NCD_CCS_OVWT_SVY,"Has conducted a recent, national adult risk factor survey covering overweight and obesity",2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,,,,62344.04821834804,No
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,7.9,7.9 [6.1-10.2]
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,12.40729,12.4 [7.1-19.2]
AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",2013-01-01,2013,2013,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,0.127,0 [0-0]
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1994-01-01,1994,1994,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,5.8,5.8 [4.0-8.4]
CM_02,Number of infant deaths,2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,38002.0,38 002 [35 695-40 390]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,7.5,7.5 [4.6-11.9]
SDGSUICIDE,Crude suicide rates (per 100 000 population),2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,39.84,39.8
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS42-47,42 to 47 months,4.8,4.8 [3.3-6.7]
CM_02,Number of infant deaths,1988-01-01,1988,1988,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,32646.0,32 646 [30 687-34 637]
AIR_15,Household air pollution attributable DALYs,2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,9590.426,9590 [7984-11 107]
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,3.8,3.8 [3.6-4.1]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.278,0.3
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,79.32437,79.3 [76.9 - 81.8]
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,31.72178,31.72 [30.56 - 32.21]
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,301.77149,302
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,0.0,0 [0 - 0.07]
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,1450.097,1450 [1142-1705]
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,13.40401,13.4 [10.0-17.2]
MORT_200,Deaths per 1 000 live births,2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.24791,4.2
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1998-01-01,1998,1998,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,11.1,11.1 [7.2-16.6]
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,23.048,23 [19-28]
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",1989-01-01,1989,1989,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,2.4,2.4 [2.1-2.7]
MORT_200,Deaths per 1 000 live births,2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.08954,0.1
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,,,,507.0,507
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,WEALTHDECILE,WEALTHDECILE_TOTL,Total,6.7,6.7 [6.0-7.5]
MORT_100,Number of deaths,2004-01-01,2004,2004,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,5993.53694,5994
AIR_7,Ambient air pollution attributable DALYs,2019-01-01,2019,2019,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,43130.289,43 130 [15 861-75 268]
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,4.51038,4.51 [1.75 - 9.02]
MORT_200,Deaths per 1 000 live births,2006-01-01,2006,2006,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,2.20543,2.2
TB_c_mdr_tx,Cases started on MDR-TB treatment,2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,,,,308.0,308
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2009-01-01,2009,2009,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,98.6,98.6 [95.6 - 99.8]
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,3.20964,3.2 [1.3-6.4]
W14_harm_effects_B,Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health?,2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
CM_01,Number of under-five deaths,1984-01-01,1984,1984,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,44024.0,44 024 [40 982-47 134]
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,,,,69000.0,69 000 [30 000-125 000]
MORT_100,Number of deaths,2017-01-01,2017,2017,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,0.0,0
NUT_BF_EBF2D,Exclusively breastfed for the first two days after birth,2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,Total,34.6,34.6 [32.1-37.1]
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,17.43339,17.4 [12.0-23.0]
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,7.64368,7.6 [4.6-11.4]
WHOSIS_000001,Life expectancy at birth (years),2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,54.09204,54.1 [53.2-55.2]
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,1.1,1.1 [1.0-1.2]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS18-23,18 to 23 months,7.6,7.6 [5.3-10.9]
MORT_100,Number of deaths,2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,0.0,0
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,51.45954,51.5 [48.9 - 54.0]
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness,2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
CM_04,Number of deaths among children ages 5 to 9 years,2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,1612.0,1612 [1174-2113]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,8.5,8.5 [5.0-14.2]
W7_rotation_A,Are the health warnings on cigarette packaging rotating?,2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
TB_c_newinc,Tuberculosis - new and relapse cases,2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,,,,102680.0,102680
MORT_100,Number of deaths,2002-01-01,2002,2002,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,0.0,0
AIR_35,Joint effects of air pollution attributable deaths,2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,112.646,113 [96-127]
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,,,,423.0,423 [183-761]
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2004-01-01,2004,2004,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,8.78081,8.8 [7.6-10.1]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2014-01-01,2014,2014,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,4.3,4.3 [3.0-6.2]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM40,Wealth - Bottom 40%,8.8,8.8 [7.5-10.3]
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2009-01-01,2009,2009,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,10.78853,10.8 [9.8 - 11.9]
Yth_curr_smokeless,Prevalence of current smokeless tobacco use among adolescents (%),2013-01-01,2013,2013,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,3.3,3.3
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1990-01-01,1990,1990,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,11.44669,11.4 [9.4-13.9]
MORT_MATERNALNUM,Number of maternal deaths,1989-01-01,1989,1989,AFR,Africa,KEN,Kenya,,,,6122.27106,6 122 [4 670-7 835]
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2006-01-01,2006,2006,AFR,Africa,KEN,Kenya,,,,103.35223,103.35 [77.38-136.18]
WHOSIS_000015,Life expectancy at age 60 (years),2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,16.65637,16.7 [16.2-17.1]
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,89.6,89.6 [80.4 - 95.9]
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",2017-01-01,2017,2017,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,60.56714,60.6 [57.8 - 63.4]
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2011-01-01,2011,2011,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,1.96543,1.97 [0.77 - 3.78]
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2018-01-01,2018,2018,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,58.45084,58.5 [56.0 - 60.8]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM60,Wealth - Bottom 60%,8.7,8.7 [7.6-9.9]
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,,,,63.0,63
NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2000-01-01,2000,2000,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,3.8,3.8 [3.4-4.2]
MORT_MATERNALNUM,Number of maternal deaths,1990-01-01,1990,1990,AFR,Africa,KEN,Kenya,,,,5876.2441,5 876 [4 571-7 459]
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,99.1,99.1 [88.3 - 100]
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,3.1,3.1 [0.7-7.9]
NUT_BF_EBF,Exclusive breastfeeding under six months,2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM60,Wealth - Bottom 60%,11.9,11.9 [8.1-17.1]
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_MILD,Mild,177.0,177 [134-221]
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS6-23,6 to 23 months,16.0,16.0 [13.5-18.8]
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2021-01-01,2021,2021,AFR,Africa,KEN,Kenya,,,,78.0,78
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1994-01-01,1994,1994,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS48-59,48 to 59 months,19.9,19.9 [16.9-23.3]
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",2003-01-01,2003,2003,AFR,Africa,KEN,Kenya,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,45.8,45.8 [40.7-51.1]
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2008-01-01,2008,2008,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,2.8,2.8 [1.7-4.5]
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,SEVERITY,SEVERITY_TOTAL,Total,2750.0,2750 [1850-3820]
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,,,,69.93707,69.94 [50.13-95.40]
CM_02,Number of infant deaths,1969-01-01,1969,1969,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,25141.0,25 141 [23 532-26 886]
AIR_60,Household and ambient air pollution attributable DALYs,2015-01-01,2015,2015,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,69829.061,69 829 [46 413-101 446]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2009-01-01,2009,2009,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,7813.0,7813 [6267-9673]
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),2020-01-01,2020,2020,AFR,Africa,KEN,Kenya,,,,67.0,67
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2001-01-01,2001,2001,AFR,Africa,KEN,Kenya,SEX,SEX_FMLE,Female,7.11276,7.1 [5.0-9.6]
NUT_BF_EBF,Exclusive breastfeeding under six months,1993-01-01,1993,1993,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,17.0,17
WHS3_57,Rubella - number of reported cases,2007-01-01,2007,2007,AFR,Africa,KEN,Kenya,,,,387.0,387
W19_colours_numbers_C,Smokeless tobacco packaging and labelling must not use figurative or other signs including colors or numbers as substitutes for prohibited misleading terms and descriptors,2010-01-01,2010,2010,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022-01-01,2022,2022,AFR,Africa,KEN,Kenya,AGEGROUP,AGEGROUP_MONTHS42-47,42 to 47 months,5.1,5.1 [4.0-6.4]
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2016-01-01,2016,2016,AFR,Africa,KEN,Kenya,SEX,SEX_MLE,Male,676.285,676 [532-824]
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations,2012-01-01,2012,2012,AFR,Africa,KEN,Kenya,,,,62344.04821834804,Yes
MORT_100,Number of deaths,2005-01-01,2005,2005,AFR,Africa,KEN,Kenya,SEX,SEX_BTSX,Both sexes,62344.04821834804,
